datetime,open,high,low,close,volume
2015-01-01 09:15:00+05:30,18706.95,18723.15,18638.85,18699.25,0
2015-01-01 10:15:00+05:30,18700.9,18709.9,18685.25,18700.2,0
2015-01-01 11:15:00+05:30,18702.5,18735.1,18692.1,18723.8,0
2015-01-01 12:15:00+05:30,18726.4,18726.4,18693.1,18699.4,0
2015-01-01 13:15:00+05:30,18700.25,18743.15,18690.5,18734.9,0
2015-01-01 14:15:00+05:30,18733.15,18781.55,18724.8,18745.9,0
2015-01-01 15:15:00+05:30,18745.4,18764.4,18744.0,18759.75,0
2015-01-02 09:15:00+05:30,18774.1,19042.7,18774.1,19033.7,0
2015-01-02 10:15:00+05:30,19027.75,19055.9,19015.3,19037.9,0
2015-01-02 11:15:00+05:30,19036.5,19048.95,19012.6,19045.15,0
2015-01-02 12:15:00+05:30,19046.35,19093.55,19038.0,19077.75,0
2015-01-02 13:15:00+05:30,19073.5,19118.85,19072.15,19108.6,0
2015-01-02 14:15:00+05:30,19108.35,19111.6,19011.6,19045.0,0
2015-01-02 15:15:00+05:30,19044.6,19097.05,19039.0,19097.05,0
2015-01-05 09:15:00+05:30,19155.2,19166.0,19007.65,19137.45,0
2015-01-05 10:15:00+05:30,19141.55,19162.1,19096.85,19106.55,0
2015-01-05 11:15:00+05:30,19106.3,19121.95,19036.65,19066.4,0
2015-01-05 12:15:00+05:30,19066.15,19071.85,19007.95,19029.85,0
2015-01-05 13:15:00+05:30,19031.6,19073.7,19017.4,19049.7,0
2015-01-05 14:15:00+05:30,19048.65,19051.45,18987.7,19019.2,0
2015-01-05 15:15:00+05:30,19017.15,19028.05,19009.0,19019.9,0
2015-01-06 09:15:00+05:30,18871.25,18871.25,18614.85,18665.35,0
2015-01-06 10:15:00+05:30,18651.95,18709.55,18614.7,18639.9,0
2015-01-06 11:15:00+05:30,18640.7,18660.15,18589.3,18592.7,0
2015-01-06 12:15:00+05:30,18593.75,18668.9,18578.3,18659.05,0
2015-01-06 13:15:00+05:30,18671.2,18714.05,18623.25,18653.7,0
2015-01-06 14:15:00+05:30,18648.55,18648.55,18392.6,18422.6,0
2015-01-06 15:15:00+05:30,18419.7,18456.6,18388.35,18396.45,0
2015-01-07 09:15:00+05:30,18391.4,18482.05,18294.05,18416.35,0
2015-01-07 10:15:00+05:30,18413.45,18475.45,18329.95,18338.5,0
2015-01-07 11:15:00+05:30,18333.3,18354.95,18222.4,18223.55,0
2015-01-07 12:15:00+05:30,18218.95,18388.7,18211.5,18330.5,0
2015-01-07 13:15:00+05:30,18326.05,18361.9,18260.8,18318.45,0
2015-01-07 14:15:00+05:30,18316.95,18394.9,18255.65,18284.9,0
2015-01-07 15:15:00+05:30,18283.5,18369.35,18264.45,18369.35,0
2015-01-08 09:15:00+05:30,18608.35,18615.3,18486.2,18540.5,0
2015-01-08 10:15:00+05:30,18541.8,18572.3,18528.8,18563.5,0
2015-01-08 11:15:00+05:30,18564.05,18590.75,18530.55,18586.2,0
2015-01-08 12:15:00+05:30,18585.7,18608.6,18567.25,18572.85,0
2015-01-08 13:15:00+05:30,18575.15,18693.1,18568.05,18693.1,0
2015-01-08 14:15:00+05:30,18695.3,18752.3,18665.1,18704.7,0
2015-01-08 15:15:00+05:30,18703.55,18709.45,18684.45,18694.2,0
2015-01-09 09:15:00+05:30,18839.55,18864.0,18758.5,18781.15,0
2015-01-09 10:15:00+05:30,18782.6,18807.1,18745.6,18779.35,0
2015-01-09 11:15:00+05:30,18779.75,18783.7,18570.85,18616.35,0
2015-01-09 12:15:00+05:30,18615.8,18653.3,18517.25,18565.95,0
2015-01-09 13:15:00+05:30,18569.4,18606.1,18479.65,18514.15,0
2015-01-09 14:15:00+05:30,18490.6,18678.35,18490.6,18663.05,0
2015-01-09 15:15:00+05:30,18661.95,18661.95,18582.9,18598.05,0
2015-01-12 09:15:00+05:30,18605.3,18755.75,18530.1,18748.15,0
2015-01-12 10:15:00+05:30,18744.5,18787.7,18701.7,18725.8,0
2015-01-12 11:15:00+05:30,18723.1,18747.6,18673.05,18685.75,0
2015-01-12 12:15:00+05:30,18684.25,18695.6,18629.3,18685.05,0
2015-01-12 13:15:00+05:30,18687.5,18757.0,18670.3,18738.8,0
2015-01-12 14:15:00+05:30,18738.2,18817.3,18730.8,18782.2,0
2015-01-12 15:15:00+05:30,18784.3,18822.05,18778.5,18808.75,0
2015-01-13 09:15:00+05:30,18887.5,18909.05,18815.8,18889.9,0
2015-01-13 10:15:00+05:30,18888.05,18920.65,18856.35,18862.9,0
2015-01-13 11:15:00+05:30,18860.4,18867.9,18813.8,18844.9,0
2015-01-13 12:15:00+05:30,18844.1,18856.55,18801.75,18856.55,0
2015-01-13 13:15:00+05:30,18856.5,18917.05,18843.2,18843.45,0
2015-01-13 14:15:00+05:30,18833.5,18851.3,18642.8,18715.1,0
2015-01-13 15:15:00+05:30,18718.65,18728.7,18701.55,18724.75,0
2015-01-14 09:15:00+05:30,18670.4,18769.65,18621.75,18680.4,0
2015-01-14 10:15:00+05:30,18684.65,18729.9,18659.95,18669.0,0
2015-01-14 11:15:00+05:30,18670.6,18681.3,18595.5,18600.85,0
2015-01-14 12:15:00+05:30,18600.1,18604.5,18517.9,18546.45,0
2015-01-14 13:15:00+05:30,18553.75,18660.2,18526.25,18627.9,0
2015-01-14 14:15:00+05:30,18624.4,18677.5,18547.95,18588.0,0
2015-01-14 15:15:00+05:30,18588.4,18638.25,18579.85,18636.85,0
2015-01-15 09:15:00+05:30,19340.45,19410.4,19061.35,19084.15,0
2015-01-15 10:15:00+05:30,19084.95,19200.15,19069.1,19188.55,0
2015-01-15 11:15:00+05:30,19188.3,19250.55,19173.05,19185.75,0
2015-01-15 12:15:00+05:30,19185.5,19258.6,19164.7,19234.2,0
2015-01-15 13:15:00+05:30,19239.55,19275.85,19221.4,19262.15,0
2015-01-15 14:15:00+05:30,19261.25,19318.8,19240.0,19299.25,0
2015-01-15 15:15:00+05:30,19302.3,19302.6,19132.05,19134.65,0
2015-01-16 09:15:00+05:30,19271.5,19271.5,19108.35,19256.7,0
2015-01-16 10:15:00+05:30,19256.8,19260.7,19215.4,19228.15,0
2015-01-16 11:15:00+05:30,19223.15,19270.05,19182.95,19220.35,0
2015-01-16 12:15:00+05:30,19216.3,19264.0,19204.5,19234.3,0
2015-01-16 13:15:00+05:30,19232.5,19275.8,19198.2,19230.25,0
2015-01-16 14:15:00+05:30,19234.8,19262.55,19216.25,19220.65,0
2015-01-16 15:15:00+05:30,19220.7,19232.8,19207.65,19208.65,0
2015-01-19 09:15:00+05:30,19368.45,19434.2,19299.1,19423.75,0
2015-01-19 10:15:00+05:30,19425.25,19431.55,19393.35,19426.4,0
2015-01-19 11:15:00+05:30,19430.4,19430.4,19367.35,19390.2,0
2015-01-19 12:15:00+05:30,19392.9,19404.2,19332.7,19395.9,0
2015-01-19 13:15:00+05:30,19386.5,19429.8,19382.05,19415.25,0
2015-01-19 14:15:00+05:30,19412.75,19428.65,19370.4,19410.7,0
2015-01-19 15:15:00+05:30,19407.15,19413.1,19397.1,19401.45,0
2015-01-20 09:15:00+05:30,19502.9,19575.15,19460.9,19571.55,0
2015-01-20 10:15:00+05:30,19571.8,19577.85,19546.65,19549.35,0
2015-01-20 11:15:00+05:30,19539.5,19556.8,19520.4,19546.5,0
2015-01-20 12:15:00+05:30,19548.25,19614.3,19544.3,19584.5,0
2015-01-20 13:15:00+05:30,19585.25,19649.0,19551.7,19640.3,0
2015-01-20 14:15:00+05:30,19648.0,19808.25,19645.8,19743.0,0
2015-01-20 15:15:00+05:30,19747.8,19784.55,19738.45,19761.1,0
2015-01-21 09:15:00+05:30,19811.85,19964.95,19803.15,19893.9,0
2015-01-21 10:15:00+05:30,19896.85,19957.15,19839.85,19874.7,0
2015-01-21 11:15:00+05:30,19876.4,19902.1,19846.5,19870.95,0
2015-01-21 12:15:00+05:30,19872.15,19875.65,19827.9,19872.2,0
2015-01-21 13:15:00+05:30,19870.55,19885.35,19837.25,19844.8,0
2015-01-21 14:15:00+05:30,19845.35,19885.95,19810.4,19854.1,0
2015-01-21 15:15:00+05:30,19852.9,19852.9,19817.75,19819.9,0
2015-01-22 09:15:00+05:30,19898.5,19898.5,19788.7,19868.4,0
2015-01-22 10:15:00+05:30,19866.4,19937.0,19856.95,19890.55,0
2015-01-22 11:15:00+05:30,19886.25,19939.9,19881.25,19911.85,0
2015-01-22 12:15:00+05:30,19916.25,19923.5,19848.8,19866.6,0
