datetime,open,high,low,close,volume
2015-01-01 09:15:00+05:30,8272.8,8276.7,8248.75,8267.95,0
2015-01-01 10:15:00+05:30,8267.7,8271.7,8265.7,8270.85,0
2015-01-01 11:15:00+05:30,8271.1,8279.7,8269.15,8277.8,0
2015-01-01 12:15:00+05:30,8277.85,8278.0,8262.65,8265.8,0
2015-01-01 13:15:00+05:30,8265.75,8277.0,8262.0,8275.2,0
2015-01-01 14:15:00+05:30,8275.1,8294.7,8273.9,8283.2,0
2015-01-01 15:15:00+05:30,8283.8,8288.8,8282.8,8285.7,0
2015-01-02 09:15:00+05:30,8288.7,8372.1,8288.7,8369.4,0
2015-01-02 10:15:00+05:30,8368.6,8385.65,8365.8,8380.3,0
2015-01-02 11:15:00+05:30,8380.5,8392.2,8373.75,8390.85,0
2015-01-02 12:15:00+05:30,8391.1,8401.55,8387.0,8395.2,0
2015-01-02 13:15:00+05:30,8395.4,8410.2,8394.2,8405.65,0
2015-01-02 14:15:00+05:30,8405.5,8407.25,8375.1,8395.15,0
2015-01-02 15:15:00+05:30,8394.85,8408.2,8392.05,8405.1,0
2015-01-05 09:15:00+05:30,8407.95,8435.85,8401.25,8430.15,0
2015-01-05 10:15:00+05:30,8430.2,8445.6,8418.95,8422.0,0
2015-01-05 11:15:00+05:30,8422.25,8426.85,8389.85,8410.15,0
2015-01-05 12:15:00+05:30,8410.2,8413.95,8381.8,8388.1,0
2015-01-05 13:15:00+05:30,8388.3,8413.8,8382.95,8403.75,0
2015-01-05 14:15:00+05:30,8404.05,8406.0,8364.05,8379.55,0
2015-01-05 15:15:00+05:30,8379.55,8385.45,8375.15,8375.15,0
2015-01-06 09:15:00+05:30,8325.3,8327.85,8197.95,8215.6,0
2015-01-06 10:15:00+05:30,8218.75,8235.0,8193.35,8205.95,0
2015-01-06 11:15:00+05:30,8205.65,8216.25,8196.4,8196.45,0
2015-01-06 12:15:00+05:30,8195.95,8218.15,8192.85,8217.3,0
