datetime,open,high,low,close,volume
2016-01-01 09:15:00+05:30,26101.5,26106.23,26008.2,26077.12,0
2016-01-01 10:15:00+05:30,26076.73,26145.78,26076.58,26135.8,0
2016-01-01 11:15:00+05:30,26135.92,26140.1,26100.76,26111.54,0
2016-01-01 12:15:00+05:30,26111.54,26112.06,26062.05,26062.05,0
2016-01-01 13:15:00+05:30,26061.8,26190.03,26046.94,26181.64,0
2016-01-01 14:15:00+05:30,26181.38,26197.27,26151.1,26170.31,0
2016-01-01 15:15:00+05:30,26170.59,26176.05,26136.88,26160.9,0
2016-01-04 09:15:00+05:30,26116.52,26116.52,25893.27,25910.7,0
2016-01-04 10:15:00+05:30,25910.29,25947.22,25776.35,25780.89,0
2016-01-04 11:15:00+05:30,25780.27,25781.44,25677.41,25772.95,0
2016-01-04 12:15:00+05:30,25772.99,25776.97,25679.28,25683.28,0
2016-01-04 13:15:00+05:30,25683.11,25701.01,25601.12,25641.22,0
2016-01-04 14:15:00+05:30,25641.22,25686.63,25599.88,25608.44,0
2016-01-04 15:15:00+05:30,25608.18,25638.43,25596.57,25623.35,0
2016-01-05 09:15:00+05:30,25744.7,25766.76,25589.13,25667.63,0
2016-01-05 10:15:00+05:30,25667.63,25706.13,25540.72,25554.78,0
2016-01-05 11:15:00+05:30,25555.34,25626.88,25513.75,25622.16,0
2016-01-05 12:15:00+05:30,25621.96,25670.73,25587.72,25655.38,0
2016-01-05 13:15:00+05:30,25656.18,25670.51,25591.11,25645.44,0
2016-01-05 14:15:00+05:30,25645.55,25645.55,25563.24,25587.78,0
2016-01-05 15:15:00+05:30,25586.34,25590.16,25551.15,25580.34,0
2016-01-06 09:15:00+05:30,25628.23,25632.57,25502.96,25536.13,0
2016-01-06 10:15:00+05:30,25536.88,25614.75,25536.37,25591.56,0
2016-01-06 11:15:00+05:30,25591.3,25613.58,25550.46,25584.9,0
2016-01-06 12:15:00+05:30,25584.72,25590.25,25538.47,25579.4,0
2016-01-06 13:15:00+05:30,25582.04,25617.55,25367.81,25369.55,0
2016-01-06 14:15:00+05:30,25368.14,25473.1,25357.7,25401.09,0
2016-01-06 15:15:00+05:30,25401.49,25413.01,25370.12,25406.33,0
2016-01-07 09:15:00+05:30,25224.7,25230.35,25027.95,25042.14,0
