symbol,days,avg_close,std_close,min_close,max_close,total_return_%,ann_volatility_%,sharpe_ratio,max_drawdown_%,positive_day_%,avg_daily_range_%,avg_volume,med_volume,start,end
MUTHOOTFIN,2402,1269.61,860.95,266.85,4095.0,804.3,35.9,0.64,-46.5,50.8,3.18,1025850,646042,2016-10-03,2026-06-17
NATIONALUM,2384,110.08,84.12,26.9,442.95,688.8,44.1,0.5,-71.9,51.0,3.74,14892230,10212757,2016-10-03,2026-06-18
NBCC,2404,53.66,32.69,10.23,130.0,90.9,46.1,0.15,-89.3,46.8,3.94,16688757,9957979,2016-10-03,2026-06-18
NESTLEIND,2403,3847.45,2996.88,804.72,10214.5,-58.0,77.2,-0.12,-92.1,50.7,2.08,782217,349778,2016-10-03,2026-06-16
NHPC,2364,44.04,25.76,18.2,115.94,195.6,32.5,0.36,-46.5,47.1,2.88,16499052,7474480,2016-10-03,2026-06-18
NMDC,2366,44.91,20.48,14.83,96.0,144.8,38.9,0.25,-72.5,51.6,3.22,26106127,20146750,2016-10-03,2026-06-18
NTPC,2401,193.36,100.61,76.4,443.0,183.6,26.1,0.42,-50.8,49.2,2.47,13989214,10693300,2016-10-03,2026-06-16
OIL,2346,211.89,148.63,46.9,730.05,203.7,38.0,0.31,-72.6,51.8,3.31,3219647,1922634,2016-10-03,2026-06-18
ONGC,2404,176.04,59.95,60.0,341.15,43.1,33.6,0.11,-71.5,50.6,2.74,15831400,11359816,2016-10-03,2026-06-16
PAGEIND,2327,31683.09,10632.17,12480.8,53795.8,157.6,31.0,0.33,-54.2,49.4,2.87,28296,21413,2016-10-03,2026-06-18
PERSISTENT,2336,2435.98,1908.02,463.75,6687.1,623.0,40.8,0.52,-68.0,51.8,3.28,386711,267342,2016-10-17,2026-06-18
PFC,2403,198.67,142.58,68.25,571.0,253.3,38.8,0.34,-59.0,51.0,3.29,8924586,6740752,2016-10-03,2026-06-17
PIDILITIND,2405,981.79,415.17,287.58,1680.0,336.0,24.0,0.64,-28.5,51.9,2.28,1032344,787702,2016-10-03,2026-06-17
PIIND,2345,2367.57,1203.71,692.25,4740.0,238.4,31.1,0.42,-43.4,48.9,3.02,262655,188773,2016-10-03,2026-06-18
PNB,2403,82.91,41.27,26.6,213.6,-24.0,41.5,-0.07,-87.5,49.8,3.39,43364613,26993054,2016-10-03,2026-06-17
POLYCAB,1755,3619.94,2515.56,535.75,9920.5,1415.0,36.6,1.07,-50.2,53.9,3.09,456402,293941,2019-04-16,2026-06-18
POWERGRID,2403,190.67,65.27,108.11,364.9,109.9,27.2,0.29,-36.2,49.6,2.41,12905428,10390629,2016-10-03,2026-06-16
RECLTD,2405,211.45,146.28,69.45,647.4,189.7,39.3,0.28,-68.5,51.6,3.24,8221636,6145340,2016-10-03,2026-06-17
RELIANCE,2402,959.72,385.55,241.34,1600.75,393.5,27.3,0.61,-45.1,51.6,2.11,17205953,13672909,2016-10-03,2026-06-16
SAIL,2404,87.76,37.85,20.4,206.0,277.6,44.0,0.32,-79.7,50.8,3.7,26018947,19494660,2016-10-03,2026-06-18
SBICARD,1551,822.16,121.32,498.75,1140.55,-8.3,30.8,-0.05,-50.1,49.5,2.6,1786781,1199105,2020-03-16,2026-06-18
SBILIFE,2154,1156.87,417.02,511.6,2108.0,149.6,26.9,0.4,-46.8,51.6,2.55,1275905,966216,2017-10-03,2026-06-16
SBIN,2402,491.14,247.07,150.85,1228.9,298.0,31.8,0.46,-59.6,51.8,2.5,24214202,16691856,2016-10-03,2026-06-16
SHREECEM,2403,22778.93,4526.18,13395.2,32400.0,39.7,27.5,0.13,-43.2,50.0,2.71,38131,28414,2016-10-03,2026-06-17
SHRIRAMFIN,1308,467.89,234.13,204.26,1107.7,275.7,35.2,0.72,-38.6,51.1,3.11,6669026,5396297,2021-03-04,2026-06-16
SIEMENS,2402,1475.36,1063.93,427.69,3967.21,496.2,30.2,0.62,-42.2,51.8,2.85,790894,563461,2016-10-03,2026-06-17
SOLARINDS,2403,4416.09,4752.41,632.85,18797.0,2577.4,31.7,1.09,-34.3,50.7,3.26,68189,31612,2016-10-03,2026-06-17
SRF,2406,1729.14,879.78,312.66,3285.5,41.6,60.2,0.06,-84.2,51.9,2.89,453064,329692,2016-10-03,2026-06-18
STARHEALTH,1121,558.04,104.94,344.85,906.85,-37.7,30.0,-0.36,-62.0,45.9,3.14,782902,486567,2021-12-10,2026-06-18
SUNPHARMA,2402,930.53,486.28,324.5,1945.0,138.4,27.5,0.33,-57.5,49.9,2.54,5010039,3291169,2016-10-03,2026-06-16
SUNTV,2404,593.16,149.39,266.6,1079.15,-1.8,35.8,-0.01,-75.3,48.4,3.32,1490357,1081509,2016-10-03,2026-06-18
SUPREMEIND,2404,2367.11,1384.96,788.5,6175.0,288.0,31.9,0.45,-49.5,48.4,3.31,131570,77043,2016-10-03,2026-06-18
SUZLON,2204,21.07,20.63,1.85,80.89,289.6,57.6,0.27,-91.3,43.1,4.63,60424681,38991333,2016-10-03,2026-06-19
SYNGENE,2387,504.46,193.02,218.9,946.5,80.9,29.6,0.21,-58.0,48.6,3.04,602814,371392,2016-10-03,2026-06-18
TATACAP,167,329.16,15.23,297.5,361.4,1.9,27.0,0.1,-17.7,42.8,2.31,3636253,2186974,2025-10-13,2026-06-17
TATACHEM,2363,642.76,337.48,195.34,1311.0,211.4,31.3,0.39,-55.3,50.9,2.8,1942421,1176898,2016-10-03,2026-06-19
TATACOMM,2404,1040.97,584.55,216.05,2158.0,449.8,34.9,0.51,-55.3,48.6,3.41,642617,415601,2016-10-03,2026-06-18
TATACONSUM,2402,636.67,359.74,115.1,1270.9,693.8,29.7,0.73,-44.8,50.6,2.68,2618385,1861014,2016-10-03,2026-06-16
TATAELXSI,2405,3965.84,2923.88,515.6,10684.9,471.8,35.6,0.51,-62.9,50.4,3.06,495654,314228,2016-10-03,2026-06-19
TATAMOTORS,2402,272.94,147.39,39.53,703.44,20.1,40.7,0.05,-88.5,50.0,3.07,39700396,21600202,2016-10-03,2026-06-16
TATAPOWER,2403,193.73,137.34,27.3,484.4,425.0,34.7,0.5,-72.9,51.0,3.04,16142278,8336007,2016-10-03,2026-06-17
TATASTEEL,2404,271.06,193.08,34.39,959.4,-45.6,132.5,-0.05,-95.3,51.3,2.86,21961324,15682977,2016-10-03,2026-06-16
TCS,2402,2729.91,935.58,1050.58,4562.7,82.3,23.9,0.26,-53.2,50.6,2.01,2810146,2356219,2016-10-03,2026-06-16
TECHM,2402,1022.71,400.14,376.3,1806.1,244.7,29.3,0.44,-46.6,51.8,2.6,2935044,2411271,2016-10-03,2026-06-16
TITAN,2402,2052.63,1190.04,303.3,4527.5,966.2,29.3,0.85,-41.7,51.4,2.49,1807354,1317170,2016-10-03,2026-06-16
TORNTPHARM,2405,1822.91,987.54,659.03,4588.3,167.8,35.0,0.29,-60.5,50.2,2.72,317627,227535,2016-10-03,2026-06-17
TORNTPOWER,2404,642.36,494.64,162.15,1972.0,701.4,34.9,0.63,-39.3,50.0,3.35,1019514,705146,2016-10-03,2026-06-18
TRENT,2402,1244.76,1347.4,118.6,5487.33,1848.9,36.2,0.86,-59.9,49.7,3.49,938590,701489,2016-10-03,2026-06-16
TRIDENT,2405,21.68,15.11,3.3,68.0,398.8,43.7,0.39,-69.1,43.2,3.59,12095118,6448350,2016-10-03,2026-06-18
TVSMOTOR,2403,1223.68,1021.65,252.95,3955.1,811.8,30.9,0.75,-67.8,50.2,2.95,1605408,1133299,2016-10-03,2026-06-17
UBL,2404,1412.39,367.3,731.75,2245.0,47.8,27.6,0.15,-46.0,49.6,2.85,397981,277778,2016-10-03,2026-06-18
ULTRACEMCO,2402,6868.23,3018.98,3018.1,13068.0,190.1,26.4,0.42,-37.7,50.9,2.3,390245,312157,2016-10-03,2026-06-16
