date,Long-Only D9_ret,Long-Only D9_n,LS-D10/D10_ret,LS-D10/D10_n,LS-D9/B9_ret,LS-D9/B9_n,Directional Long_ret,Directional Long_n,Directional Short_ret,Directional Short_n,Threshold Long_ret,Threshold Long_n,Threshold Short_ret,Threshold Short_n,Market Timing_ret,Market Timing_n,Combined LS_ret,Combined LS_n
2021-01-03 00:00:00+05:30,0.4532529940234104,7,0.7999111531844056,14,0.803732674094692,18.0,0.7733693081042933,71,1.329220391268345,6,0.917770997824562,33,1.329220391268345,6,0.6095311497116201,77,0.7999111531844056,14
2021-01-04 00:00:00+05:30,0.9542735419497536,9,0.1499698702491437,20,0.1403864700056107,18.0,0.3307535967063197,102,0.5268836919661679,4,0.5725445002478347,12,0.628382604855308,3,0.2983899254356597,106,0.1499698702491437,20
2021-01-05 00:00:00+05:30,2.197375409190617,9,0.9102664757388618,20,1.178732069772696,18.0,1.0565348868540354,86,-0.1756658822263395,23,2.197375409190617,9,0.2693418689983629,1,0.8706634455105768,109,0.9102664757388618,20
2021-01-06 00:00:00+05:30,0.5924990986870653,9,0.3752022928855025,20,0.4840957376147166,18.0,0.6851971713923836,101,1.0645978081831564,5,0.4861604968114325,20,0.3171646566907327,2,0.6026596723558015,106,0.3752022928855025,20
2021-01-07 00:00:00+05:30,0.4040686650830177,9,1.0228404484815448,20,0.9505674756279732,18.0,0.4692702942920912,49,0.5613262802305945,53,1.9529266138917216,3,1.8768677396464533,7,0.0662357689402846,102,1.0228404484815448,20
2021-01-10 00:00:00+05:30,1.4532504888570177,7,1.3848206240733276,14,1.4436199314024445,18.0,1.128159738945356,46,-0.613941843145997,31,3.0475003104519582,4,1.3411612479252395,12,-0.9211369497274324,77,1.3848206240733276,14
2021-01-11 00:00:00+05:30,1.6725811158681942,9,1.7205967279072767,18,1.7205967279072767,18.0,0.3816061793732434,28,0.5294157267295407,71,1.672581115868194,9,1.364653660354217,17,0.2717529654075413,99,1.7205967279072767,18
2021-01-12 00:00:00+05:30,1.145195528503843,9,0.6187220316510539,20,0.5948964106103923,18.0,1.1207624498417943,16,-0.2918689181033495,87,3.1245451510447886,2,-0.0038584195252169,8,-0.4206290783733992,103,0.6187220316510539,20
2021-01-13 00:00:00+05:30,-1.0835413232652482,9,0.490858633034488,20,0.5436054814960665,18.0,-0.5921325210895262,27,1.1027812935436263,75,0.1616980650019472,1,2.2667507120205124,7,0.9676095596587172,102,0.490858633034488,20
2021-01-14 00:00:00+05:30,0.5139041670571456,9,1.6847604991742064,20,1.688906503750217,18.0,-1.172869891531662,48,2.0548476354069063,54,2.7801025940506965,3,2.84725280981238,11,1.6397992853479677,102,1.6847604991742064,20
2021-01-17 00:00:00+05:30,3.055967673435954,7,-0.3195862407950443,14,-0.0024996071845151,18.0,2.0355232220589103,44,-2.801742017192552,33,2.2781442137991617,20,0.0,0,2.363902705687614,77,-0.3195862407950443,14
2021-01-18 00:00:00+05:30,0.4902045677721641,9,0.445709563324686,20,0.2730229591397534,18.0,0.7202115480520743,22,-0.550763815582447,79,0.0,0,0.2879100573744297,2,-0.5876732226550391,101,0.445709563324686,20
2021-01-19 00:00:00+05:30,-1.4707657360358306,9,0.1418234484401254,18,0.1418234484401254,18.0,-1.0563449918389696,90,1.4666595383092504,8,-1.261721357158473,26,4.165957881128157,2,-1.0898400568569515,98,0.1418234484401254,18
2021-01-20 00:00:00+05:30,0.0698775685606537,9,1.2260769032681842,20,1.2692844144840283,18.0,-0.7994251657470557,60,0.9846753566992108,42,-0.1296493540482474,4,2.124044733355547,11,-0.87570465613912,102,1.2260769032681842,20
2021-01-21 00:00:00+05:30,-0.7608478308413751,9,0.487744271526318,20,0.3903888160308997,18.0,-0.91811840222262,31,1.6116221299552664,72,-0.7128123772294102,7,1.4107458654419336,5,1.4028977070454411,103,0.487744271526318,20
2021-01-24 00:00:00+05:30,-0.2759616201069903,1,1.349079831120703,2,0.0,0.0,-1.6559643841118354,2,1.761673433351458,11,0.0,0,0.0,0,1.7454105026992082,13,1.349079831120703,2
2021-01-26 00:00:00+05:30,0.6842051811891681,7,0.8198169678577338,14,0.4495737542682343,18.0,-0.4430817180802476,18,0.4766487155979199,60,0.9590442317368096,5,1.4852517930501723,3,0.468902485401534,78,0.8198169678577338,14
2021-01-27 00:00:00+05:30,3.377000095081775,9,2.3153104637684074,20,2.690702558720964,18.0,1.0193364971341108,45,1.494586963351605,58,1.437831992184286,25,2.9764526211692086,3,-0.3962708883821174,103,2.3153104637684074,20
2021-01-28 00:00:00+05:30,4.043722870613294,9,-0.0475585392165913,20,-0.153143220834194,18.0,2.3390496086249564,30,-2.5444026098098136,75,3.922553940431128,13,-5.720695457094771,2,2.485730323756997,105,-0.0475585392165913,20
2021-01-31 00:00:00+05:30,2.143545117055273,8,0.8743746070192169,16,0.512314214907309,18.0,2.040619583904289,78,-1.047858099973516,3,2.288937667082099,55,2.9079159935379573,1,2.003850640055001,81,0.8743746070192169,16
2021-02-01 00:00:00+05:30,1.7409973744055378,9,0.9760424708739556,20,0.6713126334540307,18.0,1.225041620766364,94,-0.4655822837451048,6,1.792628992058172,24,-0.1787051437252634,4,1.1794740605450884,100,0.9760424708739556,20
2021-02-02 00:00:00+05:30,2.973120453446354,9,1.1576949691756664,22,1.235841774610794,18.0,1.4557311358782383,98,-0.7304489543922553,12,2.770128665562535,13,0.6857413100023635,1,1.376609443352495,110,1.1576949691756664,22
2021-02-03 00:00:00+05:30,-0.8601172225794003,9,0.4044777275986223,20,0.386592929447507,18.0,-0.277912254576137,65,0.651566941952857,37,-0.1976310724316432,20,1.7207314980432726,7,-0.4134536607814179,102,0.4044777275986223,20
2021-02-04 00:00:00+05:30,2.866729689126071,9,1.6721533241485858,20,1.8935855228823657,18.0,2.4738421196300684,10,-0.7995569467951117,91,1.718118201426,4,0.1589332259371554,30,-0.9653277559866916,101,1.6721533241485858,20
2021-02-07 00:00:00+05:30,-0.6068933526671829,8,0.6075708528790226,16,0.6345488213010861,18.0,-0.3228967237777684,67,1.0515775966002774,14,-0.301526210215731,11,1.8220350584252285,8,-0.4488415659940046,81,0.6075708528790226,16
2021-02-08 00:00:00+05:30,0.9917717676509952,9,0.7593188406168577,20,0.4728671627345107,18.0,0.9504697816944055,74,-0.0920157626208278,29,1.1801969930385638,8,-0.1184388793223449,6,0.7087691355474761,103,0.7593188406168577,20
2021-02-09 00:00:00+05:30,2.858313463024511,9,1.7420587811499022,20,1.9545441829906565,18.0,0.6885427814995564,75,0.3694435419495604,30,2.8583134630245106,9,3.5960213419242417,3,0.3862609747998086,105,1.7420587811499022,20
2021-02-10 00:00:00+05:30,2.198786529208636,9,1.481176950599068,20,1.629440336470234,18.0,0.0761543743549765,49,0.5493188992173358,53,3.955178809557609,6,1.4278057760191143,4,-0.2488464442659307,102,1.481176950599068,20
2021-02-11 00:00:00+05:30,3.4743101538544554,9,1.457407035011991,20,1.6597228529360846,18.0,1.4887568936173308,39,-0.4541923732069831,65,3.474310153854455,9,1.2546816479400813,1,0.8421540683608634,104,1.457407035011991,20
2021-02-14 00:00:00+05:30,1.942750181222315,8,1.506061678647348,16,1.2302815062483097,18.0,0.8091343538146797,67,0.3910553200058421,14,0.7510242948432285,27,1.2291227424186368,6,0.6016941632777995,81,1.506061678647348,16
2021-02-15 00:00:00+05:30,1.8921027982793848,9,1.2839555285651194,20,1.4266172539612436,18.0,0.6975013441591089,86,0.3756938048086477,15,1.4444762738965118,15,1.8595753972403628,5,0.5381159259955806,101,1.2839555285651194,20
2021-02-16 00:00:00+05:30,1.9610610422129835,9,0.7622496404658783,20,0.8232455017568591,18.0,0.8579623560569031,96,-0.1306770078223883,8,2.082866232672742,23,-0.4481154870201065,3,0.8020173292696327,104,0.7622496404658783,20
2021-02-17 00:00:00+05:30,-1.6101515650057974,9,0.5586698588272865,20,0.5074795894704454,18.0,-0.7955659927314391,83,1.691927567276174,22,-1.0390108513046163,22,3.01595861704036,8,-0.983375084540812,105,0.5586698588272865,20
2021-02-18 00:00:00+05:30,-0.2776231837355956,9,0.6775715224963441,20,0.237559121237472,18.0,-0.146630004678231,32,1.1536131799083738,73,-0.1588648282606158,4,1.3691767476079553,13,0.8467230693620446,105,0.6775715224963441,20
2021-02-21 00:00:00+05:30,3.055567850551621,8,1.795250811303548,16,1.778237732362708,18.0,1.736811720394834,53,-0.095906074493221,28,2.3924860618624257,27,0.4683096939273323,2,1.1695850773671157,81,1.795250811303548,16
2021-02-22 00:00:00+05:30,0.0723355778134686,9,0.4034627424188501,20,0.1209716168268457,18.0,0.827129815067766,85,-0.310851674458966,17,0.8894163351760569,27,2.1124780825741687,3,0.7410834582996326,102,0.4034627424188501,20
2021-02-23 00:00:00+05:30,1.411753182491709,9,0.8233491706771588,20,0.8327903259111147,18.0,1.1351941554842695,91,-0.1975807980744394,14,2.0816456899474924,13,3.2795997776542407,1,1.010179041162959,105,0.8233491706771588,20
